FECHA,HORA,BJU
20/02/2018,3,29
20/02/2018,4,30
20/02/2018,5,27
20/02/2018,6,31
20/02/2018,7,35
20/02/2018,8,41
20/02/2018,9,47
20/02/2018,10,48
20/02/2018,11,42
20/02/2018,12,36
20/02/2018,13,51
20/02/2018,14,51
20/02/2018,15,49
20/02/2018,16,47
20/02/2018,17,51
20/02/2018,18,49
20/02/2018,19,38
20/02/2018,20,35
20/02/2018,21,26
20/02/2018,22,38
20/02/2018,23,35
20/02/2018,24,28
21/02/2018,1,24
21/02/2018,2,25
21/02/2018,3,20
21/02/2018,4,26
21/02/2018,5,36
21/02/2018,6,41
21/02/2018,7,39
21/02/2018,8,56
21/02/2018,9,64
21/02/2018,10,75
21/02/2018,11,85
21/02/2018,12,81
21/02/2018,13,68
21/02/2018,14,68
21/02/2018,15,67
21/02/2018,16,72
21/02/2018,17,61
21/02/2018,18,66
21/02/2018,19,103
21/02/2018,20,43
21/02/2018,21,34
21/02/2018,22,42
21/02/2018,23,39
21/02/2018,24,48
22/02/2018,1,33
22/02/2018,2,34
22/02/2018,3,34
22/02/2018,4,39
22/02/2018,5,44
22/02/2018,6,46
22/02/2018,7,59
22/02/2018,8,72
22/02/2018,9,71
22/02/2018,10,65
22/02/2018,11,70
22/02/2018,12,62
22/02/2018,13,68
22/02/2018,14,75
22/02/2018,15,73
